_key,a,area,ci,d,eccentricity,kx,ky,m00,m01,m10,minAreaPercent,minEnclosingCircleArea,mu02,mu03,mu11,mu20,mu30,pi,sx,sy,type
-LA07prX-5Fv0Hrn_oe0,0.7353184449958643,48951,1.3051023962050115,330.246337890625,0.7286821705426356,21232828949139760,74878942227168660,48951,6388105.5,4674820.5,85657.02857659516,85657.60004952892,273640169.25,0,0,145714889.25,0,896,0,0,Feuille d'avokado
-LA08FYaTlZ2noy8lXQd,0.59711661485957,125156,1.3739569678132757,554.5887451171875,1.7453183520599251,5173785023743990000,561151377318543170,125156,16896060,29349082,241563.35530716006,241563.87341443426,749100378.6666665,0,0,2274595573.666666,0.00048828125,1470,2.1466728224256885e-13,0,Feuille d'avokado
-LA08amT75bMr6tab8Iz,0.7161945147703439,141699,1.3112033770593574,564.434326171875,0.7085201793721974,1408017742722686200,5566742992939799000,141699,31811425.5,22600990.5,250216.37824325368,250216.94454782692,2359394624.25,0,0,1186599234.25,0,1528,0,0,Feuille d'avokado
-LA08iU6X2W7dSctzEdh,0.7161945147703439,141699,1.3112033770593574,564.434326171875,0.7085201793721974,1408017742722686200,5566742992939799000,141699,31811425.5,22600990.5,250216.37824325368,250216.94454782692,2359394624.25,0,0,1186599234.25,0,1528,0,0,Feuille d'avokado
-LA08sLl4ut12mIH1ExR,0.7506375743836783,47376,1.300759751038118,323.83306884765625,0.7450199203187251,19470884700524540,62857405499019190,47376,6016752,4500720,82362.44666867281,82363.02187826225,250713791.99999988,0,-1.1920928955078125e-7,139538112,0,880,0,0,Feuille d'avokado
-LA08xFwW1HRz03n7Ljp,0.6939067029967363,28897.5,5.509012775823985,329.6000061035156,1.3350785340314135,57235403770778090,12600921419673264,28897.5,2794290,3820204.6666666665,85322.3050175469,85322.6437025518,112253825.85762173,197912114.82692719,-1709170.8940976262,239239218.7137763,-2043532630.6884155,1414.3990565538406,-8.541796122203861,1.763076788829906,Feuille d'avokado
-LA0922DXJ8H2XEz98bf,0.4386351003369142,39648,1.6547810860739054,366.8014831542969,0.3492537313432836,2116450455970813,139135254534291460,39648,6700512,2378880,105669.70753775306,105670.08274328873,373008384,0,0,46004896,0,908,0,0,Feuille d'avokado
-LA09CAKPcrxo5jvE96p,0.7528998711168392,170289,1.3001565056724316,613.67431640625,0.7478991596638656,3271022734933730300,10425195655480019000,170289,40784215.5,30566875.5,295777.361870662,295777.9376032585,3228807156.75,0,0,1808596896.75,0,1668,0,0,Feuille d'avokado
-LA09M6ZImJTAimgyAej,0.7618147647837891,481388,1.2978698324665978,1030.012939453125,0.757537688442211,214178455499565700000,649323787948777100000,481388,192314506,145860564,833249.2689591757,833249.8466826543,25481832507.666656,0.015625,0,14634837050.666664,0,2802,0,6.131819599433811e-13,Feuille d'avokado
-LA09VFF4e9hIoPV8Qtk,0.5883068347782421,70675.5,9.851920724846886,643.0780639648438,1.82,6991066701071647000,707557756062206800,70675.5,9385938,21176309.333333332,324800.7187732348,324800.9363695903,841164523.777725,32470623998.06964,59030332.22535133,2644062537.2845564,-121685379755.02539,2958.011316180229,-46.02212619373061,38.6019893614176,Feuille d'avokado
-LA09_QEFsHNkq1jdkrM,0.5372529796413432,48828,1.4339264535691156,360.21295166015625,0.4967948717948718,9805590969497852,158910549675211330,48828,7690410,3857412,101907.5797818988,101908.05891966786,398635861,0,0,99023184,0,938,0,0,Feuille d'avokado
-LA45BSNl4Dx-7W99GXh,0.7137681370464646,138659,1.3120357070939426,558.6912231445312,0.7058823529411765,1281477500953752000,5142194983393244000,138659,30851627.5,21838792.5,245150.3834896524,245150.94909627357,2267640840.916666,0.00048828125,0,1132023630.916666,0.000244140625,1512,2.1566742807507031e-13,2.1532565527555866e-13,Feuille d'abricot
-LA45bofN2yUstjdiIxd,0.6605000821403597,521157,1.3342291351940236,1100.78515625,1.5448275862068965,1.2210808798591543e+21,214921166137509150000,521157,151917265.5,234260071.5,951688.3668816218,951688.914494389,14660189839.75,0,0,34943967717.75,0,2956,0,0,Feuille d'abricot
-LA45tNYtyh3PHhimeCm,0.6203272403181596,10640,1.3572745513413909,159.8625030517578,1.6708860759493671,245995593500841.38,32201841777774.75,10640,436240,718200,20071.120978165505,20071.651079050484,5674666.666666664,2.384185791015625e-7,0,15684246.666666664,0,426,0,4.2014552238292283e-14,Feuille d'abricot
-LA46-9HwpGrB3y7pEiq,0.5571147509896412,108052,1.4106832389730382,527.979248046875,1.9113924050632911,3444502776513024500,260142288198710400,108052,12966240,24635856,218938.73713330686,218939.2306583808,510041457.33333325,0,0,1855937169.333333,0,1384,0,0,Feuille d'abricot
-LA464SNFvZqbpBiQBYK,0.747089281973003,6984,1.3017251803114613,124.425537109375,1.352112676056338,29986992177441,9102819999741,6984,258408,345708,12158.735590949967,12159.30996564884,3017088,0,0,5476038,0,338,0,0,Feuille d'abricot
-LA46A_NdbXVcllog8Mv,0.9428091666253677,83160,1.2743457443155755,420.4229736328125,0.9425675675675675,295187929344000000,373673471297256900,83160,12432420,11725560,138822.82778203403,138823.42681637505,611288370,0,0,543312000,0,1154,0,0,Feuille d'abricot
-LA46FmuQUX6y36CVlQ3,0.8071566563824573,30615,1.2882530830545942,257.8581848144531,0.8041237113402062,3954618967991998.5,9411188689766600,30615,3015577.5,2433892.5,52221.20009907019,52221.786348644186,97011281.25,0,0,62885761.25,0,704,0,0,Feuille d'abricot
-LA46PvlfHk3CP419OdR,0.5971474642865253,7590,1.3739328302064777,136.5711669921875,1.7538461538461538,69970088160153.31,7590961728896.999,7590,258060,444015,14648.479961642166,14648.998085813904,2755170,0,0,8364812.500000004,0,362,0,0,Feuille d'abricot
-LA46WfFVsMz4hY9Z6Jw,0.9776813828474122,49056,1.2734017623467617,322.6662902832031,0.9775784753363229,38441314825026620,42074004357382140,49056,5543328,5420688,81769.9791612179,81770.57908359279,205119488,0,0,196064568,0,886,0,0,Feuille d'abricot
-LA46abJEvZNtd5BZ9xj,0.849928120643882,104598,1.2817878197527566,474.2532043457031,0.8485714285714285,599168985775924400,1153221511480340000,104598,18461547,15689700,176648.10117310626,176648.6932974976,1073881516.5,0,0,774060066,0,1298,0,0,Feuille d'abricot
-LA46gFhFCxMCzDbq5V7,0.7255235123165763,194480,1.3081279318901078,659.7437133789062,0.7186897880539499,5138943091847341000,19204401370567086000,194480,50759280,36562240,341853.2237701319,341853.7926683105,4382282666.666664,0.001953125,0,2266923706.666667,0.00048828125,1788,2.1539377287556766e-13,4.4568667714116746e-13,Feuille d'abricot
-LA46lvl2meNlAxYXXM-,0.6337418750422547,18900,1.3488423531520428,211.8121795654297,1.6261682242990654,2326554931640622,337486292639997,18900,1039500,1672650,35235.88052341867,35236.41690031686,18370800,0,0,48234375,0,566,0,0,Feuille d'abricot
-LA46rBw_7zsbAkGLn9h,0.405593713505275,18944,1.8298113706405619,274.4751892089844,3.493150684931507,10703867864357992,74732198195652.06,18944,719872,2443776,59168.93027272694,59169.250439027164,8644778.666666664,2.384185791015625e-7,0,103459498.66666663,0.0000152587890625,660,1.4748562731452896e-13,2.7579489110678897e-14,Feuille d'abricot
-LA46wRr7Rw6k97jaYGk,0.6317328308751868,11205,1.3500543535027638,163.22817993164062,1.6341463414634145,289598497040036.06,41378391004511.06,11205,476212.5,767542.5,20925.172374504367,20925.70784026187,6432603.75,0,0,17017593.75,0,436,0,0,Feuille d'abricot
-LA47-cmiTbs518iArZP,0.744136460554371,14076,1.302546848833926,176.75233459472656,1.3564356435643565,499013586086541,148934979947661,14076,731952,985320,24536.354922148275,24536.928588079994,12203892,0,0,22338612,0,480,0,0,Feuille d'abricot
-LA475U6CtY7S3hT8mYn,0.6936421464800092,114520,1.3194934289124634,510.53204345703125,0.6838235294117647,559799249607110660,2548551526931143000,114520,23533860,16147320,204707.94846599663,204708.50789560302,1596418343.333333,0,0,748197333.333333,0.0001220703125,1378,1.631525629156658e-13,0,Feuille d'abricot
-LA47I2QruxAxUo_n7Er,0.7038330929629907,139017,1.3155901900149154,560.8820190429688,1.4387096774193548,5358008827037092000,1255494713374601700,139017,21756160.5,31209316.5,247076.7768750153,247077.33952070458,1120488604.75,0,0,2314737312.75,0,1516,0,0,Feuille d'abricot
-LA47NmtP-tBcrmQJAmz,0.601328903654485,10241,1.3707124285426393,158.29193115234375,1.736842105263158,227891855291638.6,25602663065235.312,10241,404519.5,691267.5,19678.67946081474,19679.19985798911,5059907.416666664,2.384185791015625e-7,0,15096087.416666664,0,420,0,4.711915840915257e-14,Feuille d'abricot
-LA47UItGwOMIT_CqyHb,0.7918396779986142,46222,1.2911514484598834,317.5425109863281,0.7883817427385892,19745513996048220,50885780271626104,46222,5639084,4460423,79193.66278695413,79194.2464404653,225578767.33333325,0.000030517578125,0,140518731.83333325,0.000030517578125,866,2.1717800699479948e-13,1.3528568528750217e-13,Feuille d'abricot
-LA47ZI4wz3y0qdazJxF,0.8474467129005508,49164,1.2821030675198346,325.22076416015625,0.8458333333333333,29070506432565500,56623941708032456,49164,5973426,5063892,83069.82949930802,83070.42133451495,237957857,0,0,170500752,0,890,0,0,Feuille d'abricot
-LA47dqjJ_9_2BkHPfU3,0.8515728526890533,41548,1.2815826530930656,298.8509216308594,0.85,14975079989580480,28596102727743532,41548,4632602,3947060,70144.78899352913,70145.38130622637,169103822.33333325,0.000030517578125,0,122372709.33333331,0,818,0,1.8046651875700662e-13,Feuille d'abricot
-LA47nnt3w_WSV5KZeMB,0.8621308242443418,89794,2.1206574869508286,420.2648010253906,1.1647058823529413,638326814758680400,361723562339029400,89794,18204006.666666664,19236232.666666664,138718.3421472309,138718.98945586797,601434586.9161744,-3904406096.7841797,31569307.877597332,798953574.8456731,-4884047086.5373535,1546.9057586193085,-6.1130549262274245,-6.49182169054132,Feuille d'abricot
